484691	3.7700		
489985	3.7800		
495317	3.7900		
500688	3.8000		
506098	3.8100		
511547	3.8200		
517036	3.8300		
522564	3.8400		
528132	3.8500		
533739	3.8600		
539387	3.8700		
545075	3.8800		
550805	3.8900		
556574	3.9000		
562383	3.9100		
568234	3.9200		
574126	3.9300		
580059	3.9400		
586034	3.9500		
592051	3.9600		
598110	3.9700		
604210	3.9800		
610352	3.9900		
616537	4.0000		
622764	4.0100		
629033	4.0200		
635345	4.0300		
641700	4.0400		
648099	4.0500		
654541	4.0600		
661026	4.0700		
667554	4.0800		
674125	4.0900		
680740	4.1000		
687399	4.1100		
694103	4.1200		
700851	4.1300		
707643	4.1400		
714479	4.1500		
721360	4.1600		
728285	4.1700		
735255	4.1800		
742269	4.1900		
749328	4.2000		
756431	4.2100		
763579	4.2200		
770772	4.2300		
778010	4.2400		
785294	4.2500		
792623	4.2600		
799999	4.2700		
807422	4.2800		
814893	4.2900		
822411	4.3000	
