195.581	0.626362
197.141	0.609911
198.681	0.595175
200.241	0.581354
201.781	0.568889
203.321	0.557314
204.862	0.546602
206.401	0.536395
207.941	0.526925
209.481	0.517939
211.041	0.509292
212.581	0.501249
214.121	0.493845
215.661	0.486602
217.201	0.479891
218.741	0.473567
220.281	0.467338
221.841	0.461401
223.361	0.45604
224.921	0.450619
226.461	0.445519
228.001	0.440704
229.541	0.436317
231.081	0.431786
232.641	0.427498
234.161	0.423769
235.721	0.419816
237.261	0.416346
238.801	0.413028
240.341	0.409918
241.861	0.407064
